DN	UF	COD_EMB	SIGLA OM	QTDE	
3º	PE	37	CPPE	81	
3º	PE	62	CPPE	1	
3º	PE	99	CPPE	913	
3º	PE	13	CPPE	14	
3º	PE	38	CPPE	71	
3º	PE	39	CPPE	1	
3º	PE	4	CPPE	6	
3º	PE	111	CPPE	1	
3º	PE	1	CPPE	1	
3º	PE	8	CPPE	1	
3º	PE	6	CPPE	1	
3º	PE	41	CPPE	3	
3º	PE	12	CPPE	1	
3º	PE	42	CPPE	1	
3º	PE	2	CPPE	3	
3º	PE	46	CPPE	3	
3º	PE	106	CPPE	1	
3º	PE	43	CPPE	223	
5º	SC	23	CPSC	2	
5º	SC	48	CPSC	166	
5º	SC	25	CPSC	8	
5º	SC	53	CPSC	6	
5º	SC	26	CPSC	5264	
5º	SC	55	CPSC	11	
5º	SC	54	CPSC	4	
5º	SC	51	CPSC	697	
5º	SC	28	CPSC	42	
5º	SC	31	CPSC	19	
5º	SC	32	CPSC	37	
5º	SC	33	CPSC	46	
5º	SC	44	CPSC	2	
5º	SC	59	CPSC	6	
5º	SC	105	CPSC	24	
5º	SC	103	CPSC	2	
5º	SC	35	CPSC	6508	
5º	SC	60	CPSC	1	
5º	SC	108	CPSC	3010	
5º	SC	37	CPSC	15	
5º	SC	99	CPSC	2069	
5º	SC	13	CPSC	11	
5º	SC	63	CPSC	1	
5º	SC	38	CPSC	1199	
5º	SC	39	CPSC	3	
5º	SC	41	CPSC	12	
5º	SC	42	CPSC	3	
5º	SC	46	CPSC	13	
5º	SC	43	CPSC	515	
8º	SP	109	CPSP	1	
8º	SP	102	CPSP	1	
8º	SP	48	CPSP	243	
8º	SP	25	CPSP	55	
8º	SP	53	CPSP	47	
8º	SP	26	CPSP	25313	
8º	SP	27	CPSP	10	
8º	SP	55	CPSP	6	
8º	SP	54	CPSP	2	
8º	SP	51	CPSP	946	
8º	SP	10	CPSP	4	
8º	SP	28	CPSP	811	
8º	SP	30	CPSP	1	
8º	SP	31	CPSP	541	
8º	SP	57	CPSP	18	
8º	SP	32	CPSP	31	
8º	SP	24	CPSP	1	
8º	SP	33	CPSP	687	
8º	SP	7	CPSP	2	
8º	SP	50	CPSP	2	
8º	SP	44	CPSP	13	
8º	SP	59	CPSP	24	
8º	SP	34	CPSP	87	
8º	SP	105	CPSP	159	
8º	SP	103	CPSP	3	
8º	SP	35	CPSP	20580	
8º	SP	60	CPSP	3	
8º	SP	108	CPSP	21358	
8º	SP	37	CPSP	48	
8º	SP	62	CPSP	2	
8º	SP	99	CPSP	17716	
8º	SP	13	CPSP	9	
8º	SP	38	CPSP	247	
8º	SP	39	CPSP	3	
8º	SP	4	CPSP	4	
8º	SP	111	CPSP	1	
8º	SP	8	CPSP	1	
8º	SP	6	CPSP	1	
8º	SP	41	CPSP	145	
8º	SP	9	CPSP	1	
8º	SP	12	CPSP	20	
8º	SP	42	CPSP	14	
8º	SP	45	CPSP	2	
8º	SP	2	CPSP	1	
8º	SP	46	CPSP	37	
8º	SP	43	CPSP	2454	
2º	SE	52	CPSE	1	
2º	SE	48	CPSE	19	
2º	SE	26	CPSE	701	
2º	SE	55	CPSE	1	
2º	SE	51	CPSE	234	
2º	SE	28	CPSE	3	
2º	SE	31	CPSE	2	
2º	SE	32	CPSE	6	
2º	SE	33	CPSE	6	
